Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_hits,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Com_indiv,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code,Bout_cv,Bout_npvi,IBI_cluster,Bout_entropy,Days_before_2024,Date_year,Date_month,Date_day
3,Eastern,Population A,Community I,Individual 1,16.10.18,0.73884,4,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoHW,1,0.089657,89.657,Population A (Community I),Community I (Individual 1),0.7968064452504103,131.85709833780962,short,1.3082708345352603,1903.0,2018.0,10,16
3,Eastern,Population A,Community I,Individual 1,16.10.18,0.73884,4,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoHW,2,0.523,523.0,Population A (Community I),Community I (Individual 1),0.7968064452504103,131.85709833780962,long,1.3082708345352603,1903.0,2018.0,10,16
3,Eastern,Population A,Community I,Individual 1,16.10.18,0.73884,4,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoHW,3,0.126184,126.184,Population A (Community I),Community I (Individual 1),0.7968064452504103,131.85709833780962,short,1.3082708345352603,1903.0,2018.0,10,16
6,Eastern,Population A,Community I,Individual 4,27.10.18,1.47768,5,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,SonsoZL,1,0.073054,73.05399999999999,Population A (Community I),Community I (Individual 4),1.1827549695311768,89.26358014767958,short,1.4338343733773984,1892.0,2018.0,10,27
6,Eastern,Population A,Community I,Individual 4,27.10.18,1.47768,5,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,SonsoZL,2,0.189276,189.276,Population A (Community I),Community I (Individual 4),1.1827549695311768,89.26358014767958,short,1.4338343733773984,1892.0,2018.0,10,27
6,Eastern,Population A,Community I,Individual 4,27.10.18,1.47768,5,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,SonsoZL,3,1.122375,1122.375,Population A (Community I),Community I (Individual 4),1.1827549695311768,89.26358014767958,long,1.4338343733773984,1892.0,2018.0,10,27
6,Eastern,Population A,Community I,Individual 4,27.10.18,1.47768,5,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,SonsoZL,4,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 4),1.1827549695311768,89.26358014767958,short,1.4338343733773984,1892.0,2018.0,10,27
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,1,0.119543,119.54299999999999,Population A (Community I),Community I (Individual 4),0.3161401503352337,38.3238626438637,short,0.0,1892.0,2018.0,10,27
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,2,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 4),0.3161401503352337,38.3238626438637,short,0.0,1892.0,2018.0,10,27
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,3,0.076375,76.375,Population A (Community I),Community I (Individual 4),0.3161401503352337,38.3238626438637,short,0.0,1892.0,2018.0,10,27
