Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_hits,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Com_indiv,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code
1,Eastern,Population A,Community I,Individual 1,16.10.18,0.69438,4,With,Build-Up,Build-Up,1,1,Traveling,AFT,AFT,SonsoHW,1,0.06009,60.089999999999996,Population A (Community I),Community I (Individual 1)
1,Eastern,Population A,Community I,Individual 1,16.10.18,0.69438,4,With,Build-Up,Build-Up,1,1,Traveling,AFT,AFT,SonsoHW,2,0.565635,565.635,Population A (Community I),Community I (Individual 1)
1,Eastern,Population A,Community I,Individual 1,16.10.18,0.69438,4,With,Build-Up,Build-Up,1,1,Traveling,AFT,AFT,SonsoHW,3,0.068652,68.652,Population A (Community I),Community I (Individual 1)
2,Eastern,Population A,Community I,Individual 1,16.10.18,0.08839,2,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoHW,1,0.088391,88.39099999999999,Population A (Community I),Community I (Individual 1)
3,Eastern,Population A,Community I,Individual 1,16.10.18,0.73884,4,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoHW,1,0.089657,89.657,Population A (Community I),Community I (Individual 1)
3,Eastern,Population A,Community I,Individual 1,16.10.18,0.73884,4,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoHW,2,0.523,523.0,Population A (Community I),Community I (Individual 1)
3,Eastern,Population A,Community I,Individual 1,16.10.18,0.73884,4,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoHW,3,0.126184,126.184,Population A (Community I),Community I (Individual 1)
4,Eastern,Population A,Community I,Individual 2,18.10.18,0.06392,2,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoFK,1,0.063922,63.922000000000004,Population A (Community I),Community I (Individual 2)
5,Eastern,Population A,Community I,Individual 3,24.10.18,2.2991,8,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMB,7,0.104133,104.13300000000001,Population A (Community I),Community I (Individual 3)
5,Eastern,Population A,Community I,Individual 3,24.10.18,2.2991,8,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMB,6,0.614318,614.318,Population A (Community I),Community I (Individual 3)
5,Eastern,Population A,Community I,Individual 3,24.10.18,2.2991,8,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMB,2,0.687372,687.372,Population A (Community I),Community I (Individual 3)
5,Eastern,Population A,Community I,Individual 3,24.10.18,2.2991,8,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMB,4,0.637562,637.562,Population A (Community I),Community I (Individual 3)
5,Eastern,Population A,Community I,Individual 3,24.10.18,2.2991,8,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMB,1,0.076402,76.402,Population A (Community I),Community I (Individual 3)
5,Eastern,Population A,Community I,Individual 3,24.10.18,2.2991,8,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMB,3,0.089657,89.657,Population A (Community I),Community I (Individual 3)
5,Eastern,Population A,Community I,Individual 3,24.10.18,2.2991,8,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMB,5,0.089657,89.657,Population A (Community I),Community I (Individual 3)
6,Eastern,Population A,Community I,Individual 4,27.10.18,1.47768,5,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,SonsoZL,3,1.122375,1122.375,Population A (Community I),Community I (Individual 4)
6,Eastern,Population A,Community I,Individual 4,27.10.18,1.47768,5,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,SonsoZL,1,0.073054,73.05399999999999,Population A (Community I),Community I (Individual 4)
6,Eastern,Population A,Community I,Individual 4,27.10.18,1.47768,5,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,SonsoZL,4,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 4)
6,Eastern,Population A,Community I,Individual 4,27.10.18,1.47768,5,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,SonsoZL,2,0.189276,189.276,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,6,0.109581,109.581,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,10,0.066413,66.413,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,3,0.076375,76.375,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,11,0.152749,152.749,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,9,0.149429,149.429,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,8,0.083016,83.016,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,2,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,4,0.109581,109.581,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,12,0.043168,43.168,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,5,0.109581,109.581,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,1,0.119543,119.54299999999999,Population A (Community I),Community I (Individual 4)
7,Eastern,Population A,Community I,Individual 4,27.10.18,1.26184,13,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,7,0.149429,149.429,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,6,0.164371,164.37099999999998,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,7,0.079695,79.69500000000001,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,14,0.108403,108.403,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,2,0.131165,131.165,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,3,0.059771,59.771,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,9,0.141127,141.127,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,10,0.086337,86.337,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,5,0.059771,59.771,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,12,0.097959,97.959,Population A (Community I),Community I (Individual 4)
