Population,Community,Individual,Pop_com_code,Com_indiv_code,Drumming_bout,Ratio_i,Ratio,Subspecies,Days_before_2024
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),3,1,0.14634126436162484,Eastern,1903.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),3,2,0.8056267560506729,Eastern,1903.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),6,1,0.2784813021766477,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),6,2,0.1443036295477989,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),6,3,0.9234971238808807,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,1,0.5624997059114157,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,2,0.5490189131577238,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,3,0.41071543806061644,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,4,0.5,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,5,0.5,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,6,0.4230763290992626,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,7,0.6428574501494978,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,8,0.3571425498505023,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,9,0.6923073359216464,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,10,0.30303154743979344,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),7,11,0.7796617955562815,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,1,0.3345087394403714,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,2,0.6869579335484142,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,3,0.3495134844338409,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,4,0.6504865155661591,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,5,0.2666657743751729,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,6,0.6734694713724976,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,7,0.3870963041398103,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,8,0.4720494106116096,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,9,0.6204366405233356,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,10,0.40000092660371944,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,11,0.5693428410649597,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,12,0.4244618344425957,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),8,13,0.5506201601804102,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,1,0.5420818505338078,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,2,0.5254239018364826,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,3,0.571430327390281,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,4,0.42856967260971907,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,5,0.3943672724959176,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,6,0.5584401362592837,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,7,0.47887311995792436,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,8,0.5285723504484933,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,9,0.6346157187284637,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,10,0.44186095372828055,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,11,0.32876661468775525,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,12,0.7424234128179156,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,13,0.25000110715978086,Eastern,1892.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),9,14,0.6800001606122539,Eastern,1892.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),11,1,0.08837197976888665,Eastern,1883.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),11,2,0.9032255470402328,Eastern,1883.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),11,3,0.19811382878645345,Eastern,1883.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),14,1,0.10908753097186846,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),14,2,0.9042056469316762,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),14,3,0.10459188376938251,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),14,4,0.8772496823800722,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),16,1,0.08437524902651736,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),16,2,0.8578679624919328,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),16,3,0.19377160838871293,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),16,4,0.8741404852937876,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),17,1,0.06053326057720399,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),17,2,0.9172577835298222,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),18,1,0.13207491398370716,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),19,1,0.08529070841267919,Eastern,1875.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),19,2,0.8803409897160616,Eastern,1875.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),22,1,0.05342454700711671,Eastern,1875.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),22,2,0.9213330279265424,Eastern,1875.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),23,1,0.11042984193501519,Eastern,1875.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),23,2,0.8950622698447139,Eastern,1875.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),23,3,0.10493773015528607,Eastern,1875.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),23,4,0.9006212238047016,Eastern,1875.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),23,5,0.09580826702891518,Eastern,1875.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),23,6,0.8988100626056349,Eastern,1875.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),25,1,0.39371473830803944,Eastern,1866.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),25,2,0.2268035880786816,Eastern,1866.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),25,3,0.3672160469826543,Eastern,1866.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),25,4,0.5103451243421177,Eastern,1866.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),25,5,0.4850196035809102,Eastern,1866.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),25,6,0.563710927521931,Eastern,1866.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,1,0.4162915573084002,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,2,0.728973466496423,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,3,0.2794804089200557,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,4,0.6321777963457054,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,5,0.3799125210034586,Eastern,1737.0
