Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_beats,N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context
2,EAC,Budongo,Sonso,Individual 48,16.10.18,0.08839,2,1,0.088391,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
3,EAC,Budongo,Sonso,Individual 48,16.10.18,0.73884,4,3,0.089657,0.523,0.126184,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
4,EAC,Budongo,Sonso,Individual 47,18.10.18,0.06392,2,1,0.063922,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
5,EAC,Budongo,Sonso,Individual 54,24.10.18,2.2991,8,7,0.076402,0.687372,0.089657,0.637562,0.089657,0.614318,0.104133,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
6,EAC,Budongo,Sonso,Individual 60,27.10.18,1.47768,5,4,0.073054,0.189276,1.122375,0.092978,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Feeding,Traveling
7,EAC,Budongo,Sonso,Individual 60,27.10.18,1.26184,13,12,0.119543,0.092978,0.076375,0.109581,0.109581,0.109581,0.149429,0.083016,0.149429,0.066413,0.152749,0.043168,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Resting,Traveling
8,EAC,Budongo,Sonso,Individual 60,27.10.18,1.49429,15,14,0.06593,0.131165,0.059771,0.111241,0.059771,0.164371,0.079695,0.126184,0.141127,0.086337,0.129505,0.097959,0.132825,0.108403,,,,,,,,,,,,,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling
9,EAC,Budongo,Sonso,Individual 60,27.10.18,1.57962,16,15,0.12186,0.10294,0.092978,0.069733,0.092978,0.142787,0.112902,0.122864,0.109581,0.063092,0.079695,0.162711,0.056451,0.169352,0.079695,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Resting,Traveling
11,EAC,Budongo,Sonso,Individual 55,05.11.18,1.28763,5,4,0.076215,0.786219,0.084238,0.340962,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Resting,Resting
12,EAC,Budongo,Sonso,Individual 51,12.11.18,0.11232,2,1,0.112317,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
14,EAC,Budongo,Sonso,Individual 58,13.11.18,1.45361,6,5,0.078676,0.642543,0.068073,0.582771,0.081545,,,,,,,,,,,,,,,,,,,,,,With,Unk,Let-Down,0,3,Traveling,Traveling,Traveling
15,EAC,Budongo,Sonso,Individual 58,13.11.18,0.09427,2,1,0.094266,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
16,EAC,Budongo,Sonso,Individual 58,13.11.18,1.38739,6,5,0.06247,0.677913,0.112317,0.467319,0.067285,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
17,EAC,Budongo,Sonso,Individual 58,13.11.18,0.89854,4,3,0.050142,0.778196,0.070198,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
18,EAC,Budongo,Sonso,Individual 58,13.11.18,0.84577,3,2,0.111705,0.734065,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
19,EAC,Budongo,Sonso,Individual 58,13.11.18,0.70614,4,3,0.053567,0.574485,0.078086,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
21,EAC,Budongo,Sonso,Individual 47,13.11.18,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Resting,NV,Resting
22,EAC,Budongo,Sonso,Individual 47,13.11.18,1.44673,4,3,0.071511,1.267031,0.108184,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Traveling,Traveling
23,EAC,Budongo,Sonso,Individual 47,13.11.18,2.04176,8,7,0.072204,0.581641,0.068192,0.581641,0.064181,0.605709,0.068192,,,,,,,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling
24,EAC,Budongo,Sonso,Individual 49,21.11.18,0.12636,2,1,0.126357,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Resting,Resting,Resting
25,EAC,Budongo,Sonso,Individual 57,22.11.18,4.39091,8,7,0.104886,0.161515,0.550621,0.948826,0.910359,0.966594,0.748104,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
27,EAC,Budongo,Sonso,Individual 51,01.12.18,0.07421,2,1,0.074209,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
28,EAC,Budongo,Sonso,Individual 48,01.12.18,0.07772,2,1,0.077719,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Traveling,Traveling
29,EAC,Budongo,Sonso,Individual 48,01.12.18,0.06864,2,1,0.068644,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Resting,Resting
30,EAC,Budongo,Sonso,Individual 48,01.12.18,0.088,2,1,0.087997,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Resting,Resting
31,EAC,Budongo,Sonso,Individual 48,01.12.18,0.09057,2,1,0.090568,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
32,EAC,Budongo,Sonso,Individual 57,19.03.19,0.08053,2,1,0.080525,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
33,EAC,Budongo,Sonso,Individual 56,31.03.19,2.22895,13,12,0.148619,0.208388,0.077477,0.199741,0.116216,0.189686,0.092171,0.238227,0.081485,0.354858,0.27785,0.244231,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
34,EAC,Budongo,Sonso,Individual 56,31.03.19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
35,EAC,Budongo,Sonso,Individual 56,31.03.19,0.18334,2,1,0.183336,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
36,EAC,Budongo,Sonso,Individual 48,06.04.19,0.06733,2,1,0.067326,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Traveling,Traveling
37,EAC,Budongo,Sonso,Individual 48,06.04.19,0.0963,2,1,0.096298,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Traveling,Traveling
38,EAC,Budongo,Sonso,Individual 48,06.04.19,0.08966,2,1,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Resting,Traveling,Traveling
42,EAC,Budongo,Sonso,Individual 55,16.04.19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
43,EAC,Budongo,Sonso,Individual 55,16.04.19,1.11407,4,3,0.167692,0.873327,0.073054,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Climax,1,2,Resting,Resting,Resting
44,EAC,Budongo,Sonso,Individual 58,07.06.19,0.84676,4,3,0.097129,0.650921,0.098713,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling
45,EAC,Budongo,Sonso,Individual 58,07.06.19,0.0963,2,1,0.096298,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,2,1,Traveling,Traveling,Traveling
46,EAC,Budongo,Sonso,Individual 58,07.06.19,0.09962,2,1,0.099619,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
47,EAC,Budongo,Sonso,Individual 58,07.06.19,0.07305,2,1,0.073054,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
48,EAC,Budongo,Sonso,Individual 58,07.06.19,0.04981,2,1,0.04981,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
49,EAC,Budongo,Sonso,Individual 58,07.06.19,0.78367,3,2,0.089657,0.694013,,,,,,,,,,,,,,,,,,,,,,,,,With,Pause,Climax,1,2,Traveling,Traveling,Traveling
50,EAC,Budongo,Sonso,Individual 56,26.06.19,0.42836,4,3,0.087167,0.278933,0.062262,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Resting,Traveling
51,EAC,Budongo,Sonso,Individual 48,14.07.19,1.74665,5,4,0.082644,0.571149,0.063092,1.029768,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
52,EAC,Budongo,Sonso,Individual 48,14.07.19,1.04419,6,5,0.101181,0.210457,0.437102,0.101181,0.194268,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling
53,EAC,Budongo,Sonso,Individual 48,14.07.19,0.10118,2,1,0.101181,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling
54,EAC,Budongo,Sonso,Individual 48,14.07.19,0.05977,2,1,0.059771,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Traveling,Traveling,Traveling
55,EAC,Budongo,Sonso,Individual 58,22.07.19,0.92978,4,3,0.081738,0.747143,0.100897,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
56,EAC,Budongo,Sonso,Individual 58,22.07.19,0.93891,4,3,0.10709,0.758765,0.073054,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Roar,1,1,Traveling,Traveling,Traveling
59,EAC,Budongo,Sonso,Individual 47,27.07.19,0.97627,5,4,0.442772,0.292216,0.166032,0.075247,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Unk,1,0,Traveling,Resting,Traveling
60,EAC,Budongo,Sonso,Individual 47,27.07.19,1.12071,5,4,0.028225,0.777029,0.086337,0.229124,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,Resting,Resting,Resting
67,EAC,Budongo,Sonso,Individual 59,11.09.18,1.38475,8,7,0.110038,0.116229,0.145893,0.27695,0.326405,0.08902,0.320223,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Traveling,Traveling,Traveling
68,EAC,Budongo,Sonso,Individual 52,11.10.18,0.40198,3,2,0.08652,0.31546,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Resting,Resting,Resting
69,EAC,Budongo,Sonso,Individual 47,13.10.18,1.65469,7,6,0.060781,0.332064,0.6276,0.073054,0.454927,0.10626,,,,,,,,,,,,,,,,,,,,,With,Roar,Let-Down,1,3,Traveling,Resting,Traveling
70,EAC,Budongo,Sonso,Individual 48,16.10.18,0.0787,2,1,0.078703,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
71,EAC,Budongo,Sonso,Individual 48,29.10.18,0.08966,2,1,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Resting,Resting,Resting
72,EAC,Budongo,Sonso,Individual 56,31.10.18,1.59557,12,11,0.158818,0.129505,0.162711,0.066413,0.149429,0.10626,0.259001,0.086337,0.215841,0.099619,0.161623,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling
73,EAC,Budongo,Sonso,Individual 49,31.10.18,0.38519,3,2,0.20754,0.177654,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
74,EAC,Budongo,Sonso,Individual 48,31.10.18,0.08546,2,1,0.085459,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
75,EAC,Budongo,Sonso,Individual 49,01.12.18,0.11181,2,1,0.111806,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
76,EAC,Budongo,Sonso,Individual 60,01.12.18,2.5901,15,14,0.081623,0.132825,0.119543,0.534622,0.086337,0.096298,0.146108,0.063092,0.711993,0.249048,0.10294,0.056451,0.05313,0.156086,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling
