Drumming_bout,Subspecies,Population,Community,Individual,Pop_com_code,Com_indiv_code,Date,Date_year,Date_month,Date_day,Days_before_2024,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Total_bout_duration,N_hits,Bout_cv,Bout_npvi,Bout_entropy,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,Interbeat 27
3,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),16.10.18,2018.0,10,16,1903.0,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,0.73884,4,0.7968064452504103,131.85709833780962,1.3082708345352603,0.089657,0.523,0.126184,,,,,,,,,,,,,,,,,,,,,,,,
6,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),27.10.18,2018.0,10,27,1892.0,With,Climax,Climax,2,2,Traveling,Feeding,Traveling,1.47768,5,1.1827549695311768,89.26358014767958,1.4338343733773984,0.073054,0.189276,1.122375,0.092978,,,,,,,,,,,,,,,,,,,,,,,
7,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),27.10.18,2018.0,10,27,1892.0,With,Climax,Climax,2,2,Traveling,Resting,Traveling,1.26184,13,0.3161401503352337,38.3238626438637,0.0,0.119543,0.092978,0.076375,0.109581,0.109581,0.109581,0.149429,0.083016,0.149429,0.066413,0.152749,0.043168,,,,,,,,,,,,,,,
8,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),27.10.18,2018.0,10,27,1892.0,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,1.49429,15,0.2963023739637251,38.91484514355647,0.0,0.06593,0.131165,0.059771,0.111241,0.059771,0.164371,0.079695,0.126184,0.141127,0.086337,0.129505,0.097959,0.132825,0.108403,,,,,,,,,,,,,
9,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),27.10.18,2018.0,10,27,1892.0,With,Climax,Climax,2,2,Traveling,Resting,Traveling,1.57962,16,0.31509821838034985,40.266752822913716,0.0,0.12186,0.10294,0.092978,0.069733,0.092978,0.142787,0.112902,0.122864,0.109581,0.063092,0.079695,0.162711,0.056451,0.169352,0.079695,,,,,,,,,,,,
11,Eastern,Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),05.11.18,2018.0,11,05,1883.0,With,Climax,Climax,2,2,Resting,Resting,Resting,1.28763,5,0.8960435408603822,121.46977161926178,1.4338343733773984,0.076215,0.786219,0.084238,0.340962,,,,,,,,,,,,,,,,,,,,,,,
14,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),13.11.18,2018.0,11,13,1875.0,With,Unk,Let-Down,0,3,Traveling,Traveling,Traveling,1.45361,6,0.9066270770402146,120.49641130721815,2.384080545409061,0.078676,0.642543,0.068073,0.582771,0.081545,,,,,,,,,,,,,,,,,,,,,,
16,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),13.11.18,2018.0,11,13,1875.0,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,1.38739,6,0.9032966177926253,145.38615903704903,2.384080545409061,0.06247,0.677913,0.112317,0.467319,0.067285,,,,,,,,,,,,,,,,,,,,,,
17,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),13.11.18,2018.0,11,13,1875.0,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,0.89854,4,1.130437910638279,100.11766938670235,1.3082708345352603,0.050142,0.778196,0.070198,,,,,,,,,,,,,,,,,,,,,,,,
18,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),13.11.18,2018.0,11,13,1875.0,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,0.84577,3,0.7358501720325857,147.17003440651712,1.0,0.111705,0.734065,,,,,,,,,,,,,,,,,,,,,,,,,
19,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),13.11.18,2018.0,11,13,1875.0,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,0.70614,4,1.019599952698367,101.56581675365628,1.3082708345352603,0.053567,0.574485,0.078086,,,,,,,,,,,,,,,,,,,,,,,,
22,Eastern,Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),13.11.18,2018.0,11,13,1875.0,With,Unk,Unk,0,0,Traveling,Traveling,Traveling,1.44673,4,1.1511472473355415,173.58169618388516,1.3082708345352603,0.071511,1.267031,0.108184,,,,,,,,,,,,,,,,,,,,,,,,
23,Eastern,Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),13.11.18,2018.0,11,13,1875.0,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,2.04176,8,0.885138499938076,132.57370251488973,3.4170300778499563,0.072204,0.581641,0.068192,0.581641,0.064181,0.605709,0.068192,,,,,,,,,,,,,,,,,,,,
