Drumming_bout,Subspecies,Population,Community,Date,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code,Individual,File_Name,Com_indiv,Bout_cv,Bout_npvi,IBI_cluster,Bout_entropy
3,EAC,Budongo,Sonso,16.10.18,0.73884,0.73884,0.73884,0,4,With,Build-Up,Build-Up,1,1,NV,Resting,Resting,Resting,NV,NV,1,0.089657,89.657,Budongo (Sonso),Sonso (HW),HW,ASO590 Sonso HW single ph drum (beh data - resting).WAV,Sonso_HW,0.7968064452504104,39.024228322113636,long,1.3082708345352603
3,EAC,Budongo,Sonso,16.10.18,0.73884,0.73884,0.73884,0,4,With,Build-Up,Build-Up,1,1,NV,Resting,Resting,Resting,NV,NV,2,0.523,523,Budongo (Sonso),Sonso (HW),HW,ASO590 Sonso HW single ph drum (beh data - resting).WAV,Sonso_HW,0.7968064452504104,39.024228322113636,short,1.3082708345352603
3,EAC,Budongo,Sonso,16.10.18,0.73884,0.73884,0.73884,0,4,With,Build-Up,Build-Up,1,1,NV,Resting,Resting,Resting,NV,NV,3,0.126184,126.184,Budongo (Sonso),Sonso (HW),HW,ASO590 Sonso HW single ph drum (beh data - resting).WAV,Sonso_HW,0.7968064452504104,39.024228322113636,long,1.3082708345352603
6,EAC,Budongo,Sonso,27.10.18,1.47768,1.47768,1.47768,0,5,With,Climax,Climax,2,2,NV,Traveling,Feeding,Traveling,NV,NV,1,0.073054,73.05399999999999,Budongo (Sonso),Sonso (ZL),ZL,"ASO775 Sonso HW KT group ph, ZL single ph drum (beh data - traveling-feeding).WAV",Sonso_ZL,1.1827549695311768,47.0010869,short,1.4338343733773984
6,EAC,Budongo,Sonso,27.10.18,1.47768,1.47768,1.47768,0,5,With,Climax,Climax,2,2,NV,Traveling,Feeding,Traveling,NV,NV,2,0.189276,189.276,Budongo (Sonso),Sonso (ZL),ZL,"ASO775 Sonso HW KT group ph, ZL single ph drum (beh data - traveling-feeding).WAV",Sonso_ZL,1.1827549695311768,47.0010869,short,1.4338343733773984
6,EAC,Budongo,Sonso,27.10.18,1.47768,1.47768,1.47768,0,5,With,Climax,Climax,2,2,NV,Traveling,Feeding,Traveling,NV,NV,3,1.122375,1122.375,Budongo (Sonso),Sonso (ZL),ZL,"ASO775 Sonso HW KT group ph, ZL single ph drum (beh data - traveling-feeding).WAV",Sonso_ZL,1.1827549695311768,47.0010869,long,1.4338343733773984
6,EAC,Budongo,Sonso,27.10.18,1.47768,1.47768,1.47768,0,5,With,Climax,Climax,2,2,NV,Traveling,Feeding,Traveling,NV,NV,4,0.092978,92.97800000000001,Budongo (Sonso),Sonso (ZL),ZL,"ASO775 Sonso HW KT group ph, ZL single ph drum (beh data - traveling-feeding).WAV",Sonso_ZL,1.1827549695311768,47.0010869,short,1.4338343733773984
7,EAC,Budongo,Sonso,27.10.18,1.26184,1.26184,1.26184,0,13,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,1,0.119543,119.54299999999999,Budongo (Sonso),Sonso (ZL),ZL,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",Sonso_ZL,0.31614015033523385,24.399570241253183,short,0
7,EAC,Budongo,Sonso,27.10.18,1.26184,1.26184,1.26184,0,13,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,2,0.092978,92.97800000000001,Budongo (Sonso),Sonso (ZL),ZL,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",Sonso_ZL,0.31614015033523385,24.399570241253183,short,0
7,EAC,Budongo,Sonso,27.10.18,1.26184,1.26184,1.26184,0,13,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,3,0.076375,76.375,Budongo (Sonso),Sonso (ZL),ZL,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",Sonso_ZL,0.31614015033523385,24.399570241253183,short,0
7,EAC,Budongo,Sonso,27.10.18,1.26184,1.26184,1.26184,0,13,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,4,0.109581,109.581,Budongo (Sonso),Sonso (ZL),ZL,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",Sonso_ZL,0.31614015033523385,24.399570241253183,short,0
