Population,Community,Individual,Pop_com_code,Com_indiv_code,Drumming_bout,Ratio_i,Ratio,Subspecies
Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),3,1,0.14634126436162484,EAC
Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),3,2,0.8056267560506729,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),6,1,0.2784813021766477,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),6,2,0.1443036295477989,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),6,3,0.9234971238808807,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,1,0.5624997059114157,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,2,0.5490189131577238,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,3,0.41071543806061644,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,4,0.5,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,5,0.5,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,6,0.4230763290992626,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,7,0.6428574501494978,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,8,0.3571425498505023,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,9,0.6923073359216464,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,10,0.30303154743979344,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),7,11,0.7796617955562815,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,1,0.3345087394403714,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,2,0.6869579335484142,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,3,0.3495134844338409,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,4,0.6504865155661591,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,5,0.2666657743751729,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,6,0.6734694713724976,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,7,0.3870963041398103,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,8,0.4720494106116096,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,9,0.6204366405233356,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,10,0.40000092660371944,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,11,0.5693428410649597,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,12,0.4244618344425957,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),8,13,0.5506201601804102,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,1,0.5420818505338078,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,2,0.5254239018364826,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,3,0.571430327,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,4,0.42856967260971907,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,5,0.3943672724959176,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,6,0.5584401362592837,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,7,0.47887311995792436,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,8,0.5285723504484933,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,9,0.6346157187284637,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,10,0.44186095372828055,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,11,0.32876661468775525,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,12,0.7424234128179156,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,13,0.25000110715978086,EAC
Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),9,14,0.6800001606122539,EAC
Budongo,Sonso,MS,Budongo (Sonso),Sonso (MS),11,1,0.08837198,EAC
Budongo,Sonso,MS,Budongo (Sonso),Sonso (MS),11,2,0.9032255470402328,EAC
Budongo,Sonso,MS,Budongo (Sonso),Sonso (MS),11,3,0.19811382878645345,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),14,1,0.10908753097186846,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),14,2,0.9042056469316762,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),14,3,0.10459188376938251,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),14,4,0.8772496823800722,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),16,1,0.084375249,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),16,2,0.8578679624919328,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),16,3,0.19377160838871293,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),16,4,0.8741404852937876,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),17,1,0.060533261,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),17,2,0.9172577835298222,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),18,1,0.13207491398370716,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),19,1,0.085290708,EAC
Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),19,2,0.8803409897160616,EAC
Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),22,1,0.053424547,EAC
Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),22,2,0.9213330279265424,EAC
Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),23,1,0.11042984193501519,EAC
Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),23,2,0.8950622698447139,EAC
Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),23,3,0.10493773015528607,EAC
Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),23,4,0.9006212238047016,EAC
Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),23,5,0.095808267,EAC
Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),23,6,0.8988100626056349,EAC
Budongo,Sonso,SM,Budongo (Sonso),Sonso (SM),25,1,0.39371473830803944,EAC
Budongo,Sonso,SM,Budongo (Sonso),Sonso (SM),25,2,0.2268035880786816,EAC
Budongo,Sonso,SM,Budongo (Sonso),Sonso (SM),25,3,0.3672160469826543,EAC
Budongo,Sonso,SM,Budongo (Sonso),Sonso (SM),25,4,0.5103451243421177,EAC
