,Drumming_bout,Subspecies,Population,Community,Individual,Date,File_Name,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,N_Interbeats,Summed_N_Interbeats,Check_Matching_N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH
0,1,EAC,Budongo,Sonso,HW,16.10.18,ASO586 Sonso HW single ph drum traveling (beh data - traveling-AFT).WAV,0.69438,0.69438,0.69438,0.0,4,3,3,0,0.06009,0.565635,0.068652,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,AFT,AFT,NV,NV
1,2,EAC,Budongo,Sonso,HW,16.10.18,ASO589 Sonso HW single ph drum (beh data - traveling).WAV,0.08839,0.08839,0.08839,0.0,2,1,1,0,0.088391,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV
2,3,EAC,Budongo,Sonso,HW,16.10.18,ASO590 Sonso HW single ph drum (beh data - resting).WAV,0.73884,0.73884,0.73884,0.0,4,3,3,0,0.089657,0.523,0.126184,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Resting,Resting,Resting,NV,NV
3,4,EAC,Budongo,Sonso,FK,18.10.18,ASO636 Sonso FK single ph drum traveling (beh data - traveling).WAV,0.06392,0.06392,0.06392,0.0,2,1,1,0,0.063922,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV
4,5,EAC,Budongo,Sonso,MB,24.10.18,ASO691 Sonso MB ML group ph drum (beh data - traveling).WAV,2.2991,2.2991,2.2991,0.0,8,7,7,0,0.076402,0.687372,0.089657,0.637562,0.089657,0.614318,0.104133,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV
5,6,EAC,Budongo,Sonso,ZL,27.10.18,"ASO775 Sonso HW KT group ph, ZL single ph drum (beh data - traveling-feeding).WAV",1.47768,1.47768,1.47768,0.0,5,4,4,0,0.073054,0.189276,1.122375,0.092978,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Feeding,Traveling,NV,NV
6,7,EAC,Budongo,Sonso,ZL,27.10.18,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",1.26184,1.26184,1.26184,0.0,13,12,12,0,0.119543,0.092978,0.076375,0.109581,0.109581,0.109581,0.149429,0.083016,0.149429,0.066413,0.152749,0.043168,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV
7,8,EAC,Budongo,Sonso,ZL,27.10.18,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,1.49429,1.49428,1.49428,0.0,15,14,14,0,0.06593,0.131165,0.059771,0.111241,0.059771,0.164371,0.079695,0.126184,0.141127,0.086337,0.129505,0.097959,0.132825,0.108403,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV
8,9,EAC,Budongo,Sonso,ZL,27.10.18,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,1.57962,1.57962,1.57962,0.0,16,15,15,0,0.12186,0.10294,0.092978,0.069733,0.092978,0.142787,0.112902,0.122864,0.109581,0.063092,0.079695,0.162711,0.056451,0.169352,0.079695,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV
9,10,EAC,Budongo,Sonso,ZL,27.10.18,"ASO808 Sonso ZL single ph drum display, PS single ph display.WAV",0.20859,0.20859,0.20859,0.0,3,2,2,0,0.104294,0.104294,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Display,Display,Display,NV,NV
10,11,EAC,Budongo,Sonso,MS,05.11.18,ASO936 Sonso MS single ph drum (beh data- resting).WAV,1.28763,1.28763,1.28763,0.0,5,4,4,0,0.076215,0.786219,0.084238,0.340962,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV
11,12,EAC,Budongo,Sonso,KS,12.11.18,"ASO1013 Sonso KS single ph drum (beh data - traveling), 1;15 KS single ph drum, 1;50 KS single ph.WAV",0.11232,0.11232,0.11232,0.0,2,1,1,0,0.112317,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV
12,13,EAC,Budongo,Sonso,KS,12.11.18,"ASO1013 Sonso KS single ph drum (beh data - traveling), 1;15 KS single ph drum, 1;50 KS single ph.WAV",0.07622,0.07622,0.07622,0.0,2,1,1,0,0.076215,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Enter tree,AFT,NV,NV
13,14,EAC,Budongo,Sonso,ZD,13.11.18,"ASO1029 Sonso ZD single ph drum traveling, single ph 100m.WAV",1.45361,1.45361,1.45361,0.0,6,5,5,0,0.078676,0.642543,0.068073,0.582771,0.081545,,,,,,,,,,,,,,,,,,,,,,With,Unk,Let-Down,0,3,NV,Traveling,Traveling,Traveling,NV,NV
14,15,EAC,Budongo,Sonso,ZD,13.11.18,ASO1031 Sonso ZD single ph drum traveling.WAV,0.09427,0.09427,0.09427,0.0,2,1,1,0,0.094266,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,Traveling,Traveling,Traveling,NV,NV
15,16,EAC,Budongo,Sonso,ZD,13.11.18,ASO1032 Sonso ZD single ph drum traveling.WAV,1.38739,1.3873,1.3873,0.0,6,5,5,0,0.06247,0.677913,0.112317,0.467319,0.067285,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV
16,17,EAC,Budongo,Sonso,ZD,13.11.18,ASO1032 Sonso ZD single ph drum traveling.WAV,0.89854,0.89854,0.89854,0.0,4,3,3,0,0.050142,0.778196,0.070198,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV
17,18,EAC,Budongo,Sonso,ZD,13.11.18,ASO1033 Sonso ZD single ph drum traveling.WAV,0.84577,0.84577,0.84577,0.0,3,2,2,0,0.111705,0.734065,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV
18,19,EAC,Budongo,Sonso,ZD,13.11.18,ASO1034 Sonso ZD single ph drum traveling.WAV,0.70614,0.70614,0.70614,0.0,4,3,3,0,0.053567,0.574485,0.078086,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV
