Drumming_bout,Subspecies,Population,Community,Individual,Pop_com_code,Com_indiv_code,Date,File_Name_hidden,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH,Com_indiv,Total_bout_duration,Summed_Total_bout_duration,N_beats,Bout_cv,Bout_npvi,Bout_entropy,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,Interbeat 27
3,EAC,Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),16.10.18,ASO590 Sonso HW single ph drum (beh data - resting).WAV,With,Build-Up,Build-Up,1,1,NV,Resting,Resting,Resting,NV,NV,Sonso_HW,0.73884,0.73884,4,0.7968064452504104,39.024228322113636,1.3082708345352603,0.089657,0.523,0.126184,,,,,,,,,,,,,,,,,,,,,,,,
6,EAC,Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),27.10.18,"ASO775 Sonso HW KT group ph, ZL single ph drum (beh data - traveling-feeding).WAV",With,Climax,Climax,2,2,NV,Traveling,Feeding,Traveling,NV,NV,Sonso_ZL,1.47768,1.47768,5,1.1827549695311768,47.0010869,1.4338343733773984,0.073054,0.189276,1.122375,0.092978,,,,,,,,,,,,,,,,,,,,,,,
7,EAC,Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),27.10.18,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,Sonso_ZL,1.26184,1.26184,13,0.31614015033523385,24.399570241253183,0,0.119543,0.092978,0.076375,0.109581,0.109581,0.109581,0.149429,0.083016,0.149429,0.066413,0.152749,0.043168,,,,,,,,,,,,,,,
8,EAC,Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),27.10.18,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_ZL,1.49429,1.49428,15,0.29630237396372505,21.829430780232475,0,0.06593,0.131165,0.059771,0.111241,0.059771,0.164371,0.079695,0.126184,0.141127,0.086337,0.129505,0.097959,0.132825,0.108403,,,,,,,,,,,,,
9,EAC,Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),27.10.18,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,Sonso_ZL,1.57962,1.57962,16,0.3150982183803499,21.562652084901117,0,0.12186,0.10294,0.092978,0.069733,0.092978,0.142787,0.112902,0.122864,0.109581,0.063092,0.079695,0.162711,0.056451,0.169352,0.079695,,,,,,,,,,,,
11,EAC,Budongo,Sonso,MS,Budongo (Sonso),Sonso (MS),05.11.18,ASO936 Sonso MS single ph drum (beh data- resting).WAV,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV,Sonso_MS,1.28763,1.28763,5,0.8960435408603822,42.27588043953198,1.4338343733773984,0.076215,0.786219,0.084238,0.340962,,,,,,,,,,,,,,,,,,,,,,,
14,EAC,Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),13.11.18,"ASO1029 Sonso ZD single ph drum traveling, single ph 100m.WAV",With,Unk,Let-Down,0,3,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_ZD,1.45361,1.45361,6,0.9066270770402148,42.09860614948138,2.384080545409061,0.078676,0.642543,0.068073,0.582771,0.081545,,,,,,,,,,,,,,,,,,,,,,
16,EAC,Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),13.11.18,ASO1032 Sonso ZD single ph drum traveling.WAV,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_ZD,1.38739,1.3873,6,0.9032966177926252,55.828814129564684,2.384080545409061,0.06247,0.677913,0.112317,0.467319,0.067285,,,,,,,,,,,,,,,,,,,,,,
17,EAC,Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),13.11.18,ASO1032 Sonso ZD single ph drum traveling.WAV,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV,Sonso_ZD,0.89854,0.89854,4,1.130437910638279,52.279730282648565,1.3082708345352603,0.050142,0.778196,0.070198,,,,,,,,,,,,,,,,,,,,,,,,
18,EAC,Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),13.11.18,ASO1033 Sonso ZD single ph drum traveling.WAV,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_ZD,0.84577,0.84577,3,0.7358501720325857,73.58501720325856,1,0.111705,0.734065,,,,,,,,,,,,,,,,,,,,,,,,,
